10012 [{'pageno': 1, 'start': 0, 'classname': '（6）百合班', 'schoolid': '3747', 'isadmin': 0, 'classid': '3887', 'draw': 0, 'gradeid': '3854', 'schoolname': '泗阳县众兴实验小学', 'gradename': '五', 'pageindex': 0, 'length': 10}]
10024 [{'pageno': 1, 'start': 0, 'classname': '（25）班', 'schoolid': '1387', 'isadmin': 0, 'classid': '1476', 'draw': 0, 'gradeid': '1389', 'schoolname': '上饶市广丰一中', 'gradename': '高二', 'pageindex': 0, 'length': 10}]
10029 [{'pageno': 1, 'start': 0, 'classname': '社区', 'schoolid': '3763', 'isadmin': 0, 'classid': '3778', 'draw': 0, 'gradeid': '3773', 'schoolname': '江苏省锡中学校', 'gradename': '杨墅', 'pageindex': 0, 'length': 10}]
10040 [{'pageno': 1, 'start': 0, 'classname': '高二(3)班', 'schoolid': '551', 'isadmin': 0, 'classid': '573', 'draw': 0, 'gradeid': '561', 'schoolname': '苏州星海实验中学', 'gradename': 'C4楼高中', 'pageindex': 0, 'length': 10}]
10041 [{'pageno': 1, 'start': 0, 'classname': '少先队队室', 'schoolid': '289', 'isadmin': 0, 'classid': '659', 'draw': 0, 'gradeid': '352', 'schoolname': '苏州工业园区翰林小学', 'gradename': '大厅模式', 'pageindex': 0, 'length': 10}]
10055 [{'pageno': 1, 'start': 0, 'classname': '（6）班', 'schoolid': '2117', 'isadmin': 0, 'classid': '2634', 'draw': 0, 'gradeid': '2622', 'schoolname': '徐州丰县广宇中英文学校', 'gradename': '一年级', 'pageindex': 0, 'length': 10}]
10063 [{'pageno': 1, 'start': 0, 'classname': '合班教室1', 'schoolid': '1057', 'isadmin': 0, 'classid': '7398', 'draw': 0, 'gradeid': '7380', 'schoolname': '江苏省太仓高级中学', 'gradename': '高一', 'pageindex': 0, 'length': 10}]
10077 [{'pageno': 1, 'start': 0, 'classname': '（5）班', 'schoolid': '4390', 'isadmin': 0, 'classid': '4404', 'draw': 0, 'gradeid': '4392', 'schoolname': '上海市亭林中学', 'gradename': '高三', 'pageindex': 0, 'length': 10}]
10081 [{'pageno': 1, 'start': 0, 'classname': '（13）凌云班', 'schoolid': '3747', 'isadmin': 0, 'classid': '3906', 'draw': 0, 'gradeid': '3855', 'schoolname': '泗阳县众兴实验小学', 'gradename': '六', 'pageindex': 0, 'length': 10}]
10082 [{'pageno': 1, 'start': 0, 'classname': '（4）班', 'schoolid': '7012', 'isadmin': 0, 'classid': '7312', 'draw': 0, 'gradeid': '7308', 'schoolname': '南京市溧水区第三小学', 'gradename': '六年级', 'pageindex': 0, 'length': 10}]
10090 [{'pageno': 1, 'start': 0, 'classname': '保安', 'schoolid': '7019', 'isadmin': 0, 'classid': '7260', 'draw': 0, 'gradeid': '7253', 'schoolname': '南京市佳营幼儿园', 'gradename': '后勤', 'pageindex': 0, 'length': 10}]
10112 [{'pageno': 1, 'start': 0, 'classname': '（2）班', 'schoolid': '3613', 'isadmin': 0, 'classid': '3949', 'draw': 0, 'gradeid': '3922', 'schoolname': '南京市溧水区东屏初级中学', 'gradename': '初一', 'pageindex': 0, 'length': 10}]
10116 [{'pageno': 1, 'start': 0, 'classname': '（2）班', 'schoolid': '2882', 'isadmin': 0, 'classid': '2990', 'draw': 0, 'gradeid': '2966', 'schoolname': '太仓市沙溪镇第二小学', 'gradename': '五年级', 'pageindex': 0, 'length': 10}]
10145 [{'pageno': 1, 'start': 0, 'classname': '（1）班', 'schoolid': '1103', 'isadmin': 0, 'classid': '1120', 'draw': 0, 'gradeid': '1106', 'schoolname': '江山市淤头小学', 'gradename': '四年级', 'pageindex': 0, 'length': 10}]
10149 [{'pageno': 1, 'start': 0, 'classname': '（4）班', 'schoolid': '4390', 'isadmin': 0, 'classid': '4397', 'draw': 0, 'gradeid': '4391', 'schoolname': '上海市亭林中学', 'gradename': '高二', 'pageindex': 0, 'length': 10}]
10152 [{'pageno': 1, 'start': 0, 'classname': '（5）班', 'schoolid': '6837', 'isadmin': 0, 'classid': '6866', 'draw': 0, 'gradeid': '6841', 'schoolname': '南京市北京东路小学', 'gradename': '四年级', 'pageindex': 0, 'length': 10}]
10173 [{'pageno': 1, 'start': 0, 'classname': '（4）班', 'schoolid': '3943', 'isadmin': 0, 'classid': '4158', 'draw': 0, 'gradeid': '4152', 'schoolname': '南京溧水区工交幼儿园', 'gradename': '中班', 'pageindex': 0, 'length': 10}]
10179 [{'pageno': 1, 'start': 0, 'classname': '（3）班', 'schoolid': '4390', 'isadmin': 0, 'classid': '4408', 'draw': 0, 'gradeid': '4393', 'schoolname': '上海市亭林中学', 'gradename': '高三111', 'pageindex': 0, 'length': 10}]
10183 [{'pageno': 1, 'start': 0, 'classname': '（8）班', 'schoolid': '907', 'isadmin': 0, 'classid': '1382', 'draw': 0, 'gradeid': '1351', 'schoolname': '南京市旭东中学', 'gradename': '初三111', 'pageindex': 0, 'length': 10}]
10197 [{'pageno': 1, 'start': 0, 'classname': '（1）班', 'schoolid': '3406', 'isadmin': 0, 'classid': '3510', 'draw': 0, 'gradeid': '3488', 'schoolname': '温州市龙湾区外国语小学', 'gradename': '五年级', 'pageindex': 0, 'length': 10}]
