10000 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '26446', 'pageindex': 0, 'classname': '（1）班', 'classid': '26553', 'schoolname': '周恩来红军小学', 'gradeid': '26452', 'draw': 0, 'isadmin': 0, 'length': 10}]
10007 [{'gradename': '五年级', 'start': 0, 'pageno': 1, 'schoolid': '15973', 'pageindex': 0, 'classname': '（1）班', 'classid': '18529', 'schoolname': '昆明市五华区红旗小学本部', 'gradeid': '16447', 'draw': 0, 'isadmin': 0, 'length': 10}]
10011 [{'gradename': '高二', 'start': 0, 'pageno': 1, 'schoolid': '11427', 'pageindex': 0, 'classname': '（1）班', 'classid': '12115', 'schoolname': '长安区第三中学', 'gradeid': '12107', 'draw': 0, 'isadmin': 0, 'length': 10}]
10012 [{'gradename': '五', 'start': 0, 'pageno': 1, 'schoolid': '3747', 'pageindex': 0, 'classname': '（6）百合班', 'classid': '3887', 'schoolname': '泗阳县众兴实验小学', 'gradeid': '3854', 'draw': 0, 'isadmin': 0, 'length': 10}]
10013 [{'gradename': '小班', 'start': 0, 'pageno': 1, 'schoolid': '10843', 'pageindex': 0, 'classname': '（1）班', 'classid': '10847', 'schoolname': '太阳月亮幼儿园', 'gradeid': '10844', 'draw': 0, 'isadmin': 0, 'length': 10}]
10015 [{'gradename': '五年级', 'start': 0, 'pageno': 1, 'schoolid': '23948', 'pageindex': 0, 'classname': '（1）班', 'classid': '24321', 'schoolname': '五华县梅林镇招田教学点', 'gradeid': '24315', 'draw': 0, 'isadmin': 0, 'length': 10}]
10020 [{'gradename': '教室', 'start': 0, 'pageno': 1, 'schoolid': '8719', 'pageindex': 0, 'classname': '男1-101', 'classid': '26355', 'schoolname': '湖北丹江口第一中学', 'gradeid': '8888', 'draw': 0, 'isadmin': 0, 'length': 10}]
10023 [{'gradename': '七年级', 'start': 0, 'pageno': 1, 'schoolid': '11427', 'pageindex': 0, 'classname': '（2）班', 'classid': '12180', 'schoolname': '长安区第三中学', 'gradeid': '12103', 'draw': 0, 'isadmin': 0, 'length': 10}]
10024 [{'gradename': '高三', 'start': 0, 'pageno': 1, 'schoolid': '1387', 'pageindex': 0, 'classname': '（25）班', 'classid': '1476', 'schoolname': '上饶市广丰一中', 'gradeid': '1389', 'draw': 0, 'isadmin': 0, 'length': 10}]
10029 [{'gradename': '杨墅', 'start': 0, 'pageno': 1, 'schoolid': '3763', 'pageindex': 0, 'classname': '社区', 'classid': '3778', 'schoolname': '江苏省锡中学校', 'gradeid': '3773', 'draw': 0, 'isadmin': 0, 'length': 10}]
10040 [{'gradename': 'C4楼高中', 'start': 0, 'pageno': 1, 'schoolid': '551', 'pageindex': 0, 'classname': '高二(3)班', 'classid': '573', 'schoolname': '苏州星海实验中学', 'gradeid': '561', 'draw': 0, 'isadmin': 0, 'length': 10}]
10041 [{'gradename': '大厅模式', 'start': 0, 'pageno': 1, 'schoolid': '289', 'pageindex': 0, 'classname': '少先队队室', 'classid': '659', 'schoolname': '苏州工业园区翰林小学', 'gradeid': '352', 'draw': 0, 'isadmin': 0, 'length': 10}]
10042 [{'gradename': '八年级', 'start': 0, 'pageno': 1, 'schoolid': '25557', 'pageindex': 0, 'classname': '（1）班', 'classid': '25643', 'schoolname': '常州市第二十四中学金坛分校', 'gradeid': '25559', 'draw': 0, 'isadmin': 0, 'length': 10}]
10044 [{'gradename': '大班', 'start': 0, 'pageno': 1, 'schoolid': '11291', 'pageindex': 0, 'classname': '（1）班', 'classid': '13618', 'schoolname': '长安区大兆街道育苗幼儿园', 'gradeid': '13128', 'draw': 0, 'isadmin': 0, 'length': 10}]
10049 [{'gradename': '中班', 'start': 0, 'pageno': 1, 'schoolid': '11117', 'pageindex': 0, 'classname': '（6）班', 'classid': '12213', 'schoolname': '美林幼儿园', 'gradeid': '12166', 'draw': 0, 'isadmin': 0, 'length': 10}]
10051 [{'gradename': '八年级', 'start': 0, 'pageno': 1, 'schoolid': '15955', 'pageindex': 0, 'classname': '（9）班', 'classid': '17953', 'schoolname': '杭州市拱辰桥中学', 'gradeid': '16345', 'draw': 0, 'isadmin': 0, 'length': 10}]
10055 [{'gradename': '一年级', 'start': 0, 'pageno': 1, 'schoolid': '2117', 'pageindex': 0, 'classname': '（6）班', 'classid': '2634', 'schoolname': '徐州丰县广宇中英文学校', 'gradeid': '2622', 'draw': 0, 'isadmin': 0, 'length': 10}]
10063 [{'gradename': '高一', 'start': 0, 'pageno': 1, 'schoolid': '1057', 'pageindex': 0, 'classname': '合班教室1', 'classid': '7398', 'schoolname': '江苏省太仓高级中学', 'gradeid': '7380', 'draw': 0, 'isadmin': 0, 'length': 10}]
10066 [{'gradename': '三年级', 'start': 0, 'pageno': 1, 'schoolid': '11312', 'pageindex': 0, 'classname': '（1）班', 'classid': '14491', 'schoolname': '杜曲街道涵英小学', 'gradeid': '13760', 'draw': 0, 'isadmin': 0, 'length': 10}]
10071 [{'gradename': '公共区域大屏', 'start': 0, 'pageno': 1, 'schoolid': '7512', 'pageindex': 0, 'classname': '五号楼一层东', 'classid': '8217', 'schoolname': '南京溧水经济开发区小学', 'gradeid': '7591', 'draw': 0, 'isadmin': 0, 'length': 10}]
10075 [{'gradename': '一年级', 'start': 0, 'pageno': 1, 'schoolid': '15922', 'pageindex': 0, 'classname': '（1）班', 'classid': '16958', 'schoolname': '康平县西关屯逸夫九年一贯制学校', 'gradeid': '16143', 'draw': 0, 'isadmin': 0, 'length': 10}]
10077 [{'gradename': '高三', 'start': 0, 'pageno': 1, 'schoolid': '4390', 'pageindex': 0, 'classname': '（5）班', 'classid': '4404', 'schoolname': '上海市亭林中学', 'gradeid': '4392', 'draw': 0, 'isadmin': 0, 'length': 10}]
10079 [{'gradename': '宿舍', 'start': 0, 'pageno': 1, 'schoolid': '9045', 'pageindex': 0, 'classname': '103', 'classid': '9068', 'schoolname': '浙江省开化县明德小学', 'gradeid': '9046', 'draw': 0, 'isadmin': 0, 'length': 10}]
10081 [{'gradename': '六', 'start': 0, 'pageno': 1, 'schoolid': '3747', 'pageindex': 0, 'classname': '（13）凌云班', 'classid': '3906', 'schoolname': '泗阳县众兴实验小学', 'gradeid': '3855', 'draw': 0, 'isadmin': 0, 'length': 10}]
10082 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '7012', 'pageindex': 0, 'classname': '（4）班', 'classid': '7312', 'schoolname': '南京市溧水区第三小学', 'gradeid': '7308', 'draw': 0, 'isadmin': 0, 'length': 10}]
10085 [{'gradename': '四年级', 'start': 0, 'pageno': 1, 'schoolid': '11321', 'pageindex': 0, 'classname': '（4）班', 'classid': '14575', 'schoolname': '郭杜街道中心小学', 'gradeid': '13809', 'draw': 0, 'isadmin': 0, 'length': 10}]
10090 [{'gradename': '后勤', 'start': 0, 'pageno': 1, 'schoolid': '7019', 'pageindex': 0, 'classname': '保安', 'classid': '7260', 'schoolname': '南京市佳营幼儿园', 'gradeid': '7253', 'draw': 0, 'isadmin': 0, 'length': 10}]
10093 [{'gradename': '初三', 'start': 0, 'pageno': 1, 'schoolid': '7877', 'pageindex': 0, 'classname': '（3）班', 'classid': '8418', 'schoolname': '无锡市第一女子中学', 'gradeid': '8401', 'draw': 0, 'isadmin': 0, 'length': 10}]
10100 [{'gradename': '五年级', 'start': 0, 'pageno': 1, 'schoolid': '26446', 'pageindex': 0, 'classname': '（5）班', 'classid': '26548', 'schoolname': '周恩来红军小学', 'gradeid': '26451', 'draw': 0, 'isadmin': 0, 'length': 10}]
